FileName,DataSource,UniqueID,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments,
24047BEL_Splice17_1,M,,Museums Victoria,,24047,,Accipitriformes,Accipitridae,Hamirostra,melanosternon,,unknown,adult,Australia,Swan Hill,-35.33,143.55,,,U,1931-03-16,belly ,45,0,45,0,1,,
24047BEL_Splice17_2,M,,Museums Victoria,,24047,,Accipitriformes,Accipitridae,Hamirostra,melanosternon,,unknown,adult,Australia,Swan Hill,-35.33,143.55,,,U,1931-03-16,belly ,45,0,45,0,2,,
24047BEL_Splice17_3,M,,Museums Victoria,,24047,,Accipitriformes,Accipitridae,Hamirostra,melanosternon,,unknown,adult,Australia,Swan Hill,-35.33,143.55,,,U,1931-03-16,belly ,45,0,45,0,3,,
24047BRE_Splice17_1,M,,Museums Victoria,,24047,,Accipitriformes,Accipitridae,Hamirostra,melanosternon,,unknown,adult,Australia,Swan Hill,-35.33,143.55,,,U,1931-03-16,breast ,45,0,45,0,1,,
24047BRE_Splice17_2,M,,Museums Victoria,,24047,,Accipitriformes,Accipitridae,Hamirostra,melanosternon,,unknown,adult,Australia,Swan Hill,-35.33,143.55,,,U,1931-03-16,breast ,45,0,45,0,2,,
24047BRE_Splice17_3,M,,Museums Victoria,,24047,,Accipitriformes,Accipitridae,Hamirostra,melanosternon,,unknown,adult,Australia,Swan Hill,-35.33,143.55,,,U,1931-03-16,breast ,45,0,45,0,3,,
24047CRW_Splice17_1,M,,Museums Victoria,,24047,,Accipitriformes,Accipitridae,Hamirostra,melanosternon,,unknown,adult,Australia,Swan Hill,-35.33,143.55,,,U,1931-03-16,crown ,45,0,45,0,1,,
24047CRW_Splice17_2,M,,Museums Victoria,,24047,,Accipitriformes,Accipitridae,Hamirostra,melanosternon,,unknown,adult,Australia,Swan Hill,-35.33,143.55,,,U,1931-03-16,crown ,45,0,45,0,2,,
24047CRW_Splice17_3,M,,Museums Victoria,,24047,,Accipitriformes,Accipitridae,Hamirostra,melanosternon,,unknown,adult,Australia,Swan Hill,-35.33,143.55,,,U,1931-03-16,crown ,45,0,45,0,3,,
24047CRW_Splice17_4,M,,Museums Victoria,,24047,,Accipitriformes,Accipitridae,Hamirostra,melanosternon,,unknown,adult,Australia,Swan Hill,-35.33,143.55,,,U,1931-03-16,crown ,45,0,45,0,4,,
24047MNTL_Splice17_1,M,,Museums Victoria,,24047,,Accipitriformes,Accipitridae,Hamirostra,melanosternon,,unknown,adult,Australia,Swan Hill,-35.33,143.55,,,U,1931-03-16,mantle ,45,0,45,0,1,,
24047MNTL_Splice17_2,M,,Museums Victoria,,24047,,Accipitriformes,Accipitridae,Hamirostra,melanosternon,,unknown,adult,Australia,Swan Hill,-35.33,143.55,,,U,1931-03-16,mantle ,45,0,45,0,2,,
24047MNTL_Splice17_3,M,,Museums Victoria,,24047,,Accipitriformes,Accipitridae,Hamirostra,melanosternon,,unknown,adult,Australia,Swan Hill,-35.33,143.55,,,U,1931-03-16,mantle ,45,0,45,0,3,,
24047NCK_Splice17_1,M,,Museums Victoria,,24047,,Accipitriformes,Accipitridae,Hamirostra,melanosternon,,unknown,adult,Australia,Swan Hill,-35.33,143.55,,,U,1931-03-16,neck ,45,0,45,0,1,,
24047NCK_Splice17_2,M,,Museums Victoria,,24047,,Accipitriformes,Accipitridae,Hamirostra,melanosternon,,unknown,adult,Australia,Swan Hill,-35.33,143.55,,,U,1931-03-16,neck ,45,0,45,0,2,,
24047NCK_Splice17_3,M,,Museums Victoria,,24047,,Accipitriformes,Accipitridae,Hamirostra,melanosternon,,unknown,adult,Australia,Swan Hill,-35.33,143.55,,,U,1931-03-16,neck ,45,0,45,0,3,,
5906BEL_Splice17_1,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,belly ,45,0,45,0,1,"scanned in centre of feather, could not avoid white areas",
5906BEL_Splice17_2,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,belly ,45,0,45,0,2,"scanned in centre of feather, could not avoid white areas",
5906BEL_Splice17_3,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,belly ,45,0,45,0,3,"scanned in centre of feather, could not avoid white areas",
5906BRE_Splice17_1,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,breast ,45,0,45,0,1,avoided scanning on white spots,
5906BRE_Splice17_2,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,breast ,45,0,45,0,2,avoided scanning on white spots,
5906BRE_Splice17_3,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,breast ,45,0,45,0,3,avoided scanning on white spots,
5906CRW_Splice17_1,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,crown ,45,0,45,0,1,,
5906CRW_Splice17_2,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,crown ,45,0,45,0,2,,
5906CRW_Splice17_3,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,crown ,45,0,45,0,3,,
5906MNTL_Splice17_1,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,mantle ,45,0,45,0,1,,
5906MNTL_Splice17_2,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,mantle ,45,0,45,0,2,,
5906MNTL_Splice17_3,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,mantle ,45,0,45,0,3,,
B1000BEL_Splice17_1,M,,Museums Victoria,,B1000,,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,carbo,,female,adult,Australia,Lake Victoria,-33.97,141.27,,,U,2027-10-15,belly ,45,0,45,0,1,,
